"city","city_ascii","state_id","state_name","county_fips","county_name","lat","lng","business","category"
"New York","New York","NY","New York","36061","New York","40.6943","-73.9249","Elegant Events Venue","Wedding Venue"
"Los Angeles","Los Angeles","CA","California","06037","Los Angeles","34.1139","-118.4068","Sunset Photography Studio","Wedding Photographer"
"Chicago","Chicago","IL","Illinois","17031","Cook","41.8373","-87.6862","Urban Lens Photography","Wedding Photographer"
"Miami","Miami","FL","Florida","12086","Miami-Dade","25.7839","-80.2102","Beach Wedding Venue","Wedding Venue"
"Dallas","Dallas","TX","Texas","48113","Dallas","32.7936","-96.7662","Texas Wedding Photography","Wedding Photographer"
"Philadelphia","Philadelphia","PA","Pennsylvania","42101","Philadelphia","40.0077","-75.1339","Classic Catering Co","Wedding Caterer"
"Houston","Houston","TX","Texas","48201","Harris","29.7863","-95.3889","Floral Dreams","Wedding Florist"
"Atlanta","Atlanta","GA","Georgia","13121","Fulton","33.7627","-84.4224","Southern Belle Venues","Wedding Venue"
"Washington","Washington","DC","District of Columbia","11001","District of Columbia","38.9047","-77.0163","Capital Photography","Wedding Photographer"
"Boston","Boston","MA","Massachusetts","25025","Suffolk","42.3188","-71.0846","New England Weddings","Wedding Planner"
